Outcome,Minutes,Kills,Deaths,Assists,CS
1,24,6,4,6,197
0,15,0,7,2,81
1,27,10,3,5,169
0,27,11,7,2,217
0,30,8,5,9,196
1,30,14,4,9,263
0,15,0,1,2,111
0,24,4,12,3,114
0,30,5,8,8,242
1,23,11,1,2,232
1,28,14,3,9,225
0,29,11,10,6,187
1,21,11,1,6,154
1,47,9,8,12,271
1,31,21,7,9,205
1,25,3,7,15,19
1,28,8,10,17,194
0,30,9,6,8,162
1,28,20,8,18,232
1,33,2,12,12,157
0,29,13,0,1,248
0,29,13,6,8,184
1,23,15,0,9,165
0,29,15,9,4,140
1,28,20,4,5,204
1,26,16,2,2,204
0,23,5,11,5,156
1,30,17,6,14,201
1,27,11,4,9,204
1,29,15,2,8,224
1,34,12,4,12,238
1,31,13,1,8,243
0,33,15,7,4,212
0,26,5,8,3,192
0,29,4,10,2,174
1,42,8,4,13,209
1,37,2,12,1,276
0,25,7,8,3,183
1,26,5,7,7,168
1,33,11,5,6,266
1,29,8,6,11,176
0,46,12,12,6,312
1,30,7,5,8,196
0,22,2,5,0,187
1,26,5,7,0,181
1,30,12,6,5,192
1,34,15,8,3,234
0,25,6,8,3,154
0,32,2,4,19,165
0,26,3,9,6,127
0,32,6,3,6,239
0,24,3,7,7,123
1,26,6,5,13,209
1,32,11,11,8,131
1,30,18,3,6,265
1,26,6,5,15,224
0,32,12,3,6,292
0,26,2,7,1,238
1,12,3,2,0,95
1,27,12,5,7,165
1,30,17,4,6,238
0,23,3,7,0,169
0,22,5,7,1,152
0,31,10,6,5,215
0,46,17,14,15,244
1,33,18,9,12,244
0,33,5,7,10,182
1,37,22,3,9,273
0,28,3,8,3,160
1,38,19,6,13,196
1,38,22,5,17,189
0,31,9,5,4,260
1,30,17,6,14,227
1,26,5,1,22,27
1,35,13,3,16,255
1,41,24,5,20,332
0,29,11,10,2,170
0,23,4,10,3,159
1,31,8,1,10,281
1,23,5,3,10,156
0,40,2,13,7,301
0,30,5,7,14,30
0,37,6,11,10,236
1,23,2,1,5,210
1,28,10,4,7,232
0,35,1,15,8,19
0,26,5,8,4,153
1,32,17,7,4,194
1,25,9,7,7,166
1,19,4,1,3,143
1,32,3,3,14,43
1,29,4,8,11,144
0,38,5,12,12,209
1,32,11,4,6,251
1,38,7,4,8,283
0,35,9,6,8,184
0,37,19,12,8,178
1,15,7,2,1,106
0,26,6,9,7,151
